====================================================================================================
  INNOVUS COMMAND STRUCTURED INDEX -- 258 commands
  Format: LINE_NUM | CATEGORY | COMMAND | DESCRIPTION
  Source: docs/TCRcom.txt (grep -A 80 'command' for full syntax)
====================================================================================================

25727  | other        | add_clock_tree_exclusion_drivers              | 
25797  | other        | add_clock_tree_source_group_roots             | 
37333  | other        | add_decap_cell_candidates                     | 
37404  | other        | add_decaps                                    | 
13881  | other        | add_line_end_track                            | 
13882  | other        | add_thru_substrate_insts                      | 
5487   | other        | add_to_collection                             | 
5533   | query        | all_clocks                                    | 
5566   | query        | all_connected                                 | 
5620   | query        | all_fanin                                     | 
5709   | query        | all_fanout                                    | 
5799   | query        | all_inputs                                    | 
5848   | query        | all_instances                                 | 
5881   | query        | all_outputs                                   | 
5927   | query        | all_registers                                 | 
6032   | other        | append_to_collection                          | 
25941  | other        | assign_clock_tree_source_groups               | 
26088  | clock        | ccopt_auto_limit_insertion_delay_factor       | 
25988  | clock        | ccopt_design                                  | 
26124  | clock        | ccopt_merge_clock_gates                       | 
26149  | clock        | ccopt_merge_clock_logic                       | 
19379  | power        | check_ac_limit_additional_individual_violation_report | 
19408  | power        | check_ac_limit_avg_recovery                   | 
19433  | power        | check_ac_limit_current_file                   | 
19450  | power        | check_ac_limit_current_scale_factor           | 
20294  | power        | check_ac_limit_skip_category_mode             | 
20329  | power        | check_ac_limit_skip_net                       | 
20356  | power        | check_ac_limit_skip_net_file                  | 
20377  | power        | check_ac_limit_toggle                         | 
20402  | power        | check_ac_limit_use_db_freq                    | 
20417  | power        | check_ac_limit_use_qrc_tech                   | 
20436  | power        | check_ac_limit_use_rms_delta_t                | 
20464  | power        | check_ac_limit_view                           | 
20486  | power        | check_ac_limits                               | 
20537  | other        | check_antenna                                 | 
26185  | other        | check_clock_tree_convergence                  | 
20636  | other        | check_connectivity                            | 
26250  | other        | check_cts_config                              | 
20943  | other        | check_cut_density                             | 
21038  | physical     | check_drc                                     | 
21327  | physical     | check_drc_area                                | 
21347  | physical     | check_drc_check_illegal_trim_shapes           | 
21367  | physical     | check_drc_check_only                          | 
21416  | physical     | check_drc_check_reverse                       | 
21447  | physical     | check_drc_check_routing_halo                  | 
21467  | physical     | check_drc_check_routing_halo_corner           | 
21494  | physical     | check_drc_disable_rules                       | 
21515  | physical     | check_drc_enable_post_passive_fill            | 
21535  | physical     | check_drc_exclude_pg_net                      | 
21565  | physical     | check_drc_ignore_cell_blockage                | 
21585  | physical     | check_drc_ignore_fill_wire                    | 
21615  | physical     | check_drc_ignore_non_rectangle_shapes         | 
21636  | physical     | check_drc_ignore_trial_route                  | 
21663  | physical     | check_drc_inside_via_def                      | 
21683  | physical     | check_drc_layer_range                         | 
21707  | physical     | check_drc_limit                               | 
21736  | physical     | check_drc_max_wrong_way_halo                  | 
21762  | physical     | check_drc_ndr_spacing                         | 
21798  | physical     | check_drc_report                              | 
21818  | physical     | check_drc_short_only                          | 
21848  | physical     | check_drc_trim_length                         | 
21868  | physical     | check_drc_uncolored                           | 
21895  | physical     | check_drc_use_min_spacing_on_block_obs        | 
21916  | other        | check_endcaps                                 | 
22029  | other        | check_io_to_bump_connectivity                 | 
22100  | other        | check_isolated_cuts                           | 
22205  | other        | check_litho                                   | 
22399  | other        | check_metal_density                           | 
22529  | other        | check_power_vias                              | 
22974  | other        | check_tieoffs                                 | 
23042  | other        | check_well_antenna                            | 
23132  | other        | check_well_taps                               | 
23262  | other        | check_wire_gaps                               | 
13670  | other        | clear_active_logic_view                       | 
26285  | clock        | clock_design                                  | 
26318  | clock        | clock_opt_design                              | 
26419  | clock        | clock_post_route_repair                       | 
26551  | other        | commit_clock_tree_route_attributes            | 
13883  | other        | commit_global_net_rules                       | 
6121   | other        | compare_collections                           | 
13884  | other        | compare_instance_obs                          | 
13885  | other        | compress_special                              | 
26589  | other        | connect_clock_tree_mesh_drivers               | 
13886  | power        | connect_global_net                            | 
13887  | database     | convert_dbu_to_um                             | 
26630  | database     | convert_lib_clock_tree_latencies              | 
13888  | database     | convert_um_to_dbu                             | 
6158   | other        | copy_collection                               | 
13694  | other        | create_active_logic_view                      | 
18782  | other        | create_bus_guide                              | 
13889  | database     | create_cell_obs                               | 
26965  | clock        | create_clock_tree                             | 
27041  | clock        | create_clock_tree_source_group                | 
27105  | clock        | create_clock_tree_spec                        | 
27210  | other        | create_flexible_htree                         | 
27619  | other        | create_generated_clock_tree                   | 
23411  | other        | create_marker                                 | 
27747  | other        | create_route_type                             | 
27900  | other        | create_skew_group                             | 
13890  | database     | create_via                                    | 
13891  | database     | create_via_definition                         | 
13892  | other        | create_virtual_fin_bound_marker               | 
13893  | other        | create_virtual_shape_on_pg_wires              | 
32030  | clock        | cts_timing_connectivity_based_skew_groups     | 
31986  | clock        | cts_timing_connectivity_based_skew_groups_balance_master_clocks | 
32067  | clock        | cts_timing_connectivity_info                  | 
32141  | clock        | cts_top_fanout_threshold                      | 
32168  | clock        | cts_update_clock_latency                      | 
32204  | clock        | cts_use_inverters                             | 
32240  | clock        | cts_use_receiver_model_capacitance_for_drv    | 
13894  | other        | decompress_special                            | 
13895  | database     | define_attribute                              | 
6194   | other        | define_property                               | 
37630  | other        | delaycal_accuracy_level                       | 
37666  | other        | delaycal_advanced_node_pin_cap_settings       | 
37651  | other        | delaycal_advanced_pin_cap_mode                | 
37674  | other        | delaycal_combine_mmmc                         | 
37720  | other        | delaycal_default_net_delay                    | 
37739  | other        | delaycal_default_net_load                     | 
37708  | other        | delaycal_degrade_slew_on_early_nets           | 
37749  | other        | delaycal_enable_high_fanout                   | 
37765  | other        | delaycal_enable_quiet_receivers_for_hold      | 
37785  | other        | delaycal_enable_si                            | 
13896  | eco          | delete_buffer                                 | 
18922  | other        | delete_bus_guides                             | 
13897  | other        | delete_cell_obs                               | 
32356  | other        | delete_clock_tree_drivers                     | 
32395  | other        | delete_clock_tree_source_group                | 
32443  | other        | delete_clock_tree_spec                        | 
32518  | other        | delete_clock_trees                            | 
23524  | other        | delete_drc_markers                            | 
32573  | other        | delete_flexible_htrees                        | 
13898  | other        | delete_floating_nets                          | 
13899  | other        | delete_global_net_connections                 | 
23557  | other        | delete_markers                                | 
13900  | database     | delete_obj                                    | 
32624  | other        | delete_skew_groups                            | 
13901  | other        | delete_thru_substrate_insts                   | 
6262   | query        | filter_collection                             | 
32279  | other        | flexible_htrees                               | 
6381   | query        | foreach_in_collection                         | 
6461   | other        | get_activity                                  | 
6722   | other        | get_arcs                                      | 
32684  | other        | get_ccopt_property_common_ui_map              | 
13902  | query        | get_cell_free_legal_location                  | 
6793   | query        | get_cells                                     | 
32978  | query        | get_clock_tree_capacitance                    | 
33078  | query        | get_clock_tree_effective_max_capacitance      | 
33180  | query        | get_clock_tree_transition_time                | 
6928   | query        | get_clocks                                    | 
13903  | other        | get_computed_shapes                           | 
33258  | other        | get_cts_graph_traversal                       | 
13904  | other        | get_db                                        | 
6997   | other        | get_designs                                   | 
13906  | other        | get_edge                                      | 
7034   | other        | get_generated_clocks                          | 
7079   | other        | get_lib_arcs                                  | 
7151   | other        | get_lib_cells                                 | 
33342  | other        | get_lib_clock_tree_path_delay                 | 
7246   | other        | get_lib_pg_pins                               | 
7315   | other        | get_lib_pins                                  | 
7422   | other        | get_libs                                      | 
13751  | other        | get_module_view                               | 
