-WNS,WNS_norm,TNS,Paths
-40,-0.22,-204,23,par_mlc/dcreqvm404h_*_[*]
-32,-0.17,-98,6,par_mlc/dcreqadrm404h_*_*_*_[*]
-30,-0.16,-436,34,par_mlc/idic2udatam5nnh_data[*]
-27,-0.15,-11082,1172,par_mlc/idic2ureqm5nnh_valid
-25,-0.13,-710,49,par_mlc/ml2dcsnpreqvalidmnnnh_*_[*]
-21,-0.12,-1250,96,par_mlc/ml2dcsnpreqvalidmnnnh_*_[*]
-22,-0.12,-90,6,par_mlc/mlearlyalertfbidm505h_*_*_*_[*]
-20,-0.11,-133,34,par_mlc/mlrddatam511h_*_*_*_*_*_*_*_[*]
-18,-0.1,-440,106,par_mlc/mlrddatam511h_*_*_*_*_*_*_*_[*]
-16,-0.09,-48,3,par_mlc/mltmulpgfsmackmnn2h[*]
-15,-0.08,-48,8,par_mlc/mlbuffstalltoifulsm500h[*]
-13,-0.07,-136,30,par_mlc/mlisnpadrm502h_*_*_*_[*]
-13,-0.07,-32,4,par_mlc/idic2ureqm5nnh_sai[*]
-13,-0.07,-39,3,par_mlc/mluncorepmim5nnh[*]
-10,-0.06,-10,1,par_mlc/mlearlyalertfbidm505h_*_*_*_[*]
-11,-0.06,-32,4,par_mlc/cr_mlc_c0_out2pm_crdatamh_*_[*]
-10,-0.05,-10,1,par_mlc/mltmulpgfsmackmnn2h[*]
-9,-0.05,-27,3,par_mlc/mldcevrdbyteenm498h_*_[*]
-8,-0.04,-30,6,par_mlc/mlbuffstalltoifulsm500h[*]
-5,-0.03,-10,2,par_mlc/mlisnpidm502h_*_*_*_[*]
-6,-0.03,-12,2,par_mlc/core_clk_core_common_clk_glbdrvff_mnsclkenmlcicore0m011h_o icore0/par_pmh/icore_clk_icore_common_clk_glbdrvff_mnsclkenpmhm010h_d
-6,-0.03,-7,2,par_mlc/mlisnpadrm502h_*_*_*_[*]
-3,-0.02,-21,9,par_mlc/ml2dcfbvcntzeromnnnh[*]
-3,-0.02,-9,3,par_mlc/cr_mlc_c0_out_crdatamh_*_[*]
-4,-0.02,-12,3,par_mlc/mlrddatam511h_*_*_*_*_*_*_*_[*]
0,-0.0,0,1,par_mlc/archthrottletriggermnn1h[*]
0,-0.0,0,1,par_mlc/ml2dcdraindonemnnnh[*]
