==========================================================================================
  PT COMMAND STRUCTURED INDEX -- 371 commands
  Format: LINE_NUM | CATEGORY | COMMAND | DESCRIPTION
==========================================================================================

99888  | other        | active_clock_list                        | Sets a group of clocks to be active in the current analysis scope. Provides capability to
1951   | other        | add_scenario_unsupported_attribute_waiver | The add_scenario_unsupported_attribute_waiver command adds a waiver for attributes
2309   | query        | all_clocks                               | The all_clocks command creates a collection of all clocks in the current design. If you do
2345   | query        | all_connected                            | The all_connected command creates a collection of objects connected to a specified net,
132449 | other        | aocvm_file                               | The write_binary_aocvm command creates binary encoded AOCV files from ASCII AOCV
101218 | other        | aocvm_table_group_name                   | The set_aocvm_table_group command can operate on either hierarchical cells in the top-
36268  | other        | args                                     | Define custom tcl command to use in charts expression evaluation.
3495   | other        | as_collection                            | This command looks up a string value and returns it as a collection it the collection is still
14225  | other        | attr_name                                | Use define_qtm_attribute command to define a new user-defined attribute that is
132450 | other        | binary_file                              | The write_binary_aocvm command creates binary encoded AOCV files from ASCII AOCV
43296  | other        | block_mark                               | This command sets a block mark for one or more hierarchical or leaf-level cell instances.
36269  | other        | body                                     | Define custom tcl command to use in charts expression evaluation.
113027 | other        | capacitance_value                        | Specifies a minimum capacitance on input/inout ports or designs. If minimum capacitance
58853  | other        | cell_list                                | The remove_cell command removes cells from the current design. Like all other netlist
3677   | other        | cell_of                                  | The cell_of command creates a collection of cells owned by a list of pins. The command
43295  | other        | cells                                    | This command sets a block mark for one or more hierarchical or leaf-level cell instances.
4154   | other        | check_constraints                        | Invokes constraint consistency to check constraints of the current design for potential
4243   | other        | check_eco                                | The check_eco command reads physical library and design files in either LEF/DEF or IC
4578   | other        | check_level_shifters                     | In PrimeTime, the check_level_shifters command is an alias for:
4851   | other        | check_routes                             | This command verifies, checks, and reports routing statistics for the current design block.
22432  | other        | clock_list                               | Shows the relationship between two given clocks. If the option -type is not specified, the
6027   | other        | collections                              | Synopsys applications build an internal database of objects and attributes applied to them.
51865  | other        | concurrent_cmds                          | This command is a parallel directive that instructs PrimeTime to execute the list of
103450 | other        | connection_class_value                   | The connection class label is an attribute that is used to describe connection requirements
7646   | other        | create_command_group                     | The create_command_group command is used to create a new command group, which
10377  | power        | create_power_state_group                 | The create_power_state_group command defines a group in the active scope that can be
10563  | other        | create_pst                               | The create_pst command creates a power state table using a specific order of supply nets.
10608  | other        | create_python_venv                       | This command creates a Python virtual environment (venv) using the current application.
11162  | other        | create_qtm_model                         | Specifies the name of a new quick timing model (QTM) to be created by PrimeTime. QTMs
11346  | other        | create_qtm_port                          | This command creates QTM port. You can create a single port or a list of ports with this
11575  | other        | create_ruleset                           | This command is available only if you invoke the pt_shell with the -constraints option.
127196 | other        | criteria                                 | You can use the sort_collection command to order the objects in a collection based on one
12795  | other        | current_instance                         | The current_instance command specifies the working cell instance. This command differs
13181  | other        | current_session                          | This command is available only if you invoke the pt_shell with the -multi_scenario option.
13280  | other        | date                                     | The date command generates a string containing the current date and time, and returns
2259   | other        | def                                      | The alias command defines or displays command aliases. With no arguments, the alias
13665  | other        | define_design_mode_group                 | The define_design_mode_group command defines a set of design modes to be placed
65134  | other        | design                                   | The rename_design command changes the name of a design. Either a design name
