pin,partition,spec_value,spec_clock,spec_edge,source,comment
dc2mlwrdatam402h_*_*_*_*_*_[*],icore,88.0,mclk_fe,r,sibling_ref,ref from par_fe/dc2mlwrdatam403h_0__0__0_[0] spec=88.0
dcreqbyteenm402h[*],icore,32.0,mclk_meu,r,sibling_ref,ref from par_meu/dcreqbyteenm402h[0] spec=32.0
mlc2meupmonbusmnnh_ctr2_*_*_inc[*],icore,63.0,mclk_meu,r,sibling_ref,ref from par_meu/mlc2meupmonbusmnnh_ctr1_0__inc[0] spec=63.0
mlc2meupmonbusmnnh_ctr1_*_*_inc[*],icore,63.0,mclk_meu,r,sibling_ref,ref from par_meu/mlc2meupmonbusmnnh_ctr1_0__inc[0] spec=63.0
mlearlyalertmemrspm506h_*_[*],icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/mlearlyalertm505h[0] spec=21.0
mldcevrdidm498h_*_[*],icore,51.0,mclk_meu,r,sibling_ref,ref from par_meu/mldcevrdidm498h_0_[0] spec=51.0
mlearlyalertfbidm505h_*_[*],icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/mlearlyalertm505h[0] spec=21.0
mlrd0datavldm510h_*_[*],icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/mlrd0datavldm510h_0_[0] spec=21.0
mlearlyalertchunksm505h_*_[*],icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/mlearlyalertm505h[0] spec=21.0
mltacrbuscntlm734h_umbpsel[*],icore,26.0,mclk_meu,r,sibling_ref,ref from par_meu/mltacrbuscntlm734h_umbpsel[0] spec=26.0
vsense_a[*],icore,9999.0,uclk,r,sibling_copy,analog family: vsense_a_in_* has spec=9999 in par_pm
mltawludtunemnnnh[*],icore,9999.0,sbclk,r,sibling_copy,SOC-level multi-FT: soc→par_pmh(FT)→par_pm(FT)→par_mlc(FT); no endpoint in core_client; spec=9999 like analog
mltacrbuscntlm734h_chainsel[*],icore,57.0,mclk_meu,r,sibling_ref,ref from par_meu/mltacrbuscntlm734h_chainsel[0] spec=57.0
mlearlyalertm505h[*],icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/mlearlyalertm505h[0] spec=21.0
mlearlyalertl3missm506h[*],icore,32.0,mclk_meu,r,sibling_ref,ref from par_meu/mlearlyalertl3missm506h[0] spec=32.0
mlearlyalertl2linem505h[*],icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/mlearlyalertl2linem505h[0] spec=21.0
mldcevrdsnpm498h[*],icore,63.0,mclk_meu,r,sibling_ref,ref from par_meu/mldcevrdsnpm498h[0] spec=63.0
mldcevrdenm498h[*],icore,51.0,mclk_meu,r,sibling_ref,ref from par_meu/mldcevrdenm498h[0] spec=51.0
mldcevrdchunkm498h[*],icore,32.0,mclk_meu,r,sibling_ref,ref from par_meu/mldcevrdchunkm498h[0] spec=32.0
mldcevrdbyteenm498h[*],icore,31.0,mclk_meu,r,sibling_ref,ref from par_meu/mldcevrdbyteenm498h[0] spec=31.0
dcspecreqvm403h[*],icore,68.0,mclk_pmh,r,sibling_ref,ref from par_pmh/dcspecreqvm403h spec=68.0
dc2mlwrdatapoisonm402h[*],icore,37.0,mclk_meu,r,sibling_ref,ref from par_meu/dc2mlwrdatapoisonm402h[0] spec=37.0
update_in,icore,68.00,mclk_pmh,r,calculated,auto-allocated: drv=84.00(userSpec) rcv=68.00(default) slack=10.00
unlock,icore,TBD,,,needs_basel,no timing path; no sibling found
tsgroupdioderdsel_3,icore,9999.0,sbclk,r,sibling_copy,analog family: ts*diodanatempsense_a has spec=9999 in par_pm
tsgroupdioderdsel_2,icore,9999.0,sbclk,r,sibling_copy,analog family: ts*diodanatempsense_a has spec=9999 in par_pm
tsgroupdioderdsel_1,icore,9999.0,sbclk,r,sibling_copy,analog family: ts*diodanatempsense_a has spec=9999 in par_pm
tsgroupdioderdsel_0,icore,9999.0,sbclk,r,sibling_copy,analog family: ts*diodanatempsense_a has spec=9999 in par_pm
tsgroupdiode_v_cathode_*_23,icore,9999.0,sbclk,r,sibling_copy,analog family: ts*diodanatempsense_a has spec=9999 in par_pm
tsgroupdiode_v_anode_*_23,icore,9999.0,sbclk,r,sibling_copy,analog family: ts*diodanatempsense_a has spec=9999 in par_pm
tsgroupdiode_i_anode_*_23,icore,9999.0,sbclk,r,sibling_copy,analog family: ts*diodanatempsense_a has spec=9999 in par_pm
tsgroupdiode_gnd_a,icore,9999.0,sbclk,r,sibling_copy,analog family: ts*gnddiodanatempsense_a has spec=9999 in par_pm
rotfbitm909h,icore,16.0,mclk_meu,r,sibling_ref,ref from par_meu/rotfbitm909h spec=16.0
root_mnsclk,icore,TBD,,,needs_basel,no timing path; no sibling found
ronukeallm909h,icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/ronukeallm909h spec=21.0
roinc0emnn2h,icore,32.0,mclk_meu,r,sibling_ref,ref from par_meu/roinc0emnn2h spec=32.0
roifbitm909h,icore,16.0,mclk_meu,r,sibling_ref,ref from par_meu/roifbitm909h spec=16.0
roeeccorepausemnn3h,icore,21.0,mclk_meu,r,sibling_ref,ref from par_meu/roeeccorepausemnn3h spec=21.0
roactivem910h,icore,57.0,mclk_meu,r,sibling_ref,ref from par_meu/roactivem910h spec=57.0
mluncorepmim5nnh,icore,32.0,mclk_meu,r,sibling_ref,ref from par_meu/mluncorepmim5nnh spec=32.0
mltmulpgfsmackmnn2h,icore,36.0,mclk_meu,r,sibling_ref,ref from par_meu/mltmulpgfsmackmnn2h spec=36.0
