pin,partition,spec_value,spec_clock,spec_edge,source,comment
mi2v0blendzerom303h[6],par_exe,123.0,mclk_exe,r,sibling_copy,mi2v0blendzerom303h: bits [0]-[5] have spec=123.0
mi2v0blendzerom303h[7],par_exe,123.0,mclk_exe,r,sibling_copy,mi2v0blendzerom303h: bits [0]-[5] have spec=123.0
mi2v0vecrdym302h[6],par_exe,79.0,mclk_exe,r,sibling_copy,mi2v0vecrdym302h: bits [0]-[5] have spec=79.0
mi2v0vecrdym302h[7],par_exe,79.0,mclk_exe,r,sibling_copy,mi2v0vecrdym302h: bits [0]-[5] have spec=79.0
mi2v1blendzerom303h[6],par_exe,123.0,mclk_exe,r,sibling_copy,mi2v1blendzerom303h: bits [0]-[5] have spec=123.0
mi2v1blendzerom303h[7],par_exe,123.0,mclk_exe,r,sibling_copy,mi2v1blendzerom303h: bits [0]-[5] have spec=123.0
mi2v1vecrdym302h[6],par_exe,79.0,mclk_exe,r,sibling_copy,mi2v1vecrdym302h: bits [0]-[5] have spec=79.0
mi2v1vecrdym302h[7],par_exe,79.0,mclk_exe,r,sibling_copy,mi2v1vecrdym302h: bits [0]-[5] have spec=79.0
mimaskisnotallonem305h[6],par_exe,128.0,mclk_exe,r,sibling_copy,mimaskisnotallonem305h: bits [0]-[5] have spec=128.0
mimaskisnotallonem305h[7],par_exe,128.0,mclk_exe,r,sibling_copy,mimaskisnotallonem305h: bits [0]-[5] have spec=128.0
miv2iwakeupm302h[0],par_exe,119.0,mclk_exe,r,sibling_copy,miv2iwakeupm302h: bits [2]-[5] have spec=119.0
miv2iwakeupm302h[1],par_exe,119.0,mclk_exe,r,sibling_copy,miv2iwakeupm302h: bits [2]-[5] have spec=119.0
rsi2vavoidm305h[2],par_exe,88.0,mclk_exe,r,sibling_copy,rsi2vavoidm305h: bits [0]-[1] have spec=88.0
rsi2vavoidm305h[3],par_exe,88.0,mclk_exe,r,sibling_copy,rsi2vavoidm305h: bits [0]-[1] have spec=88.0
rsuopisgitm302h[0],par_exe,128.0,mclk_exe,r,sibling_copy,rsuopisgitm302h: bits [2]-[5] have spec=128.0
rsuopisgitm302h[1],par_exe,128.0,mclk_exe,r,sibling_copy,rsuopisgitm302h: bits [2]-[5] have spec=128.0
rsvecrobidvpm803h[6],par_exe,54.0,mclk_exe,r,sibling_copy,rsvecrobidvpm803h: bits [0]-[5] have spec=54.0
rsvecrobidvpm803h[7],par_exe,54.0,mclk_exe,r,sibling_copy,rsvecrobidvpm803h: bits [0]-[5] have spec=54.0
rsvecrobidvm804h_6_,par_exe,68.0,mclk_exe,r,sibling_copy,rsvecrobidvm804h: bits _0_ to _5_ have spec=68.0
rsvecrobidvm804h_7_,par_exe,68.0,mclk_exe,r,sibling_copy,rsvecrobidvm804h: bits _0_ to _5_ have spec=68.0
fmddataoutv0cm802h[0],par_exe,90.0,mclk_exe,r,sibling_copy,fmddataoutv0cm802h: bits [2]-[7] have spec=90.0
fmddataoutv0cm802h[1],par_exe,90.0,mclk_exe,r,sibling_copy,fmddataoutv0cm802h: bits [2]-[7] have spec=90.0
rsmaskmuxctlm302h_12__2_[0],par_exe,103.0,mclk_exe,r,sibling_copy,rsmaskmuxctlm302h: partial bits have spec=103.0
rsmaskmuxctlm302h_12__2_[1],par_exe,103.0,mclk_exe,r,sibling_copy,rsmaskmuxctlm302h: partial bits have spec=103.0
mii2vkgenimmdatam802h[2],par_exe,44.0,mclk_exe,r,sibling_copy,mii2vkgenimmdatam802h: partial bits have spec=44.0
mii2vkgenimmdatam802h[3],par_exe,44.0,mclk_exe,r,sibling_copy,mii2vkgenimmdatam802h: partial bits have spec=44.0
mii2vkgenselm802h[2],par_exe,84.0,mclk_exe,r,sibling_copy,mii2vkgenselm802h: partial bits have spec=84.0
mii2vkgenselm802h[3],par_exe,84.0,mclk_exe,r,sibling_copy,mii2vkgenselm802h: partial bits have spec=84.0
mii2vwbdrivem802h[2],par_exe,79.0,mclk_exe,r,sibling_copy,mii2vwbdrivem802h: partial bits have spec=79.0
mii2vwbdrivem802h[3],par_exe,79.0,mclk_exe,r,sibling_copy,mii2vwbdrivem802h: partial bits have spec=79.0
miisi2kwbm802h[2],par_exe,64.0,mclk_exe,r,sibling_copy,miisi2kwbm802h: partial bits have spec=64.0
miisi2kwbm802h[3],par_exe,64.0,mclk_exe,r,sibling_copy,miisi2kwbm802h: partial bits have spec=64.0
miisi2vbrcstwbvm802h[2],par_exe,64.0,mclk_exe,r,sibling_copy,miisi2vbrcstwbvm802h: partial bits have spec=64.0
